source,job_id,title,company_name,location_raw,remote_status,job_type,description,tags_raw,publication_date,job_url,salary_min_raw,salary_max_raw,salary_text_raw,scrape_date
RemoteJobs.org,f231478a-53fc-49c8-b5e5-64fd1f10e519,Solutions Engineering Post Sales,Geotab,Remote - US,Remote,Full-time,"Who we are: Geotab ® is a global leader in IoT and connected transportation and certified “Great Place to Work™.” We are a company of diverse and talented individuals who work together to help businesses grow and succeed, and increase the safety and sustainability of our communities. Geotab is advancing security, connecting commercial vehicles to the internet and providing web-based analytics to help customers better manage their fleets. Geotab’s open platform and Geotab Marketplace ®, offering hundreds of third-party solution options, allows both small and large businesses to automate operations by integrating vehicle data with their other data assets. Processing billions of data points a day, Geotab leverages data analytics and machine learning to improve productivity, optimize fleets through the reduction of fuel consumption, enhance driver safety and achieve strong compliance to regulatory changes. Our team is growing and we’re looking for people who follow their passion, think dif","{'name': 'Data Science', 'slug': 'data-science'}",2026-05-07T00:01:45+00:00,https://remotejobs.org/remote-jobs/solutions-engineering-post-sales-geotab,,,,2026-05-10
RemoteJobs.org,172d6aaf-f0ad-458f-aa73-46a855151b26,Account Executive,BlastPoint,Remote,Remote,Full-time,"About BlastPoint BlastPoint is a B2B data analytics startup located in the East Liberty neighborhood of Pittsburgh. We give companies the power to engage with customers more effectively by discovering the humans in their data and understanding customer journeys. Serving diverse industries including energy, finance, retail, and transportation, BlastPoint's Customer Intelligence Platform makes data accessible to business users so they can plan solutions to customer-facing challenges, from encouraging green behavior to managing customers' financial stress. Founded in 2016 by Carnegie Mellon Alumni, we are a tight-knit, forward-thinking team. Why You Should Work for Us - Solve Challenging Problems: BlastPoint's platform incorporates cutting-edge approaches to geospatial data, psychographic clustering, data enrichment and a dynamic visualization environment, all at scale. We're working to break new ground by pulling insights from high-dimensional data. And we're pushing ourselves to try new","{'name': 'Data Science', 'slug': 'data-science'}",2026-05-02T00:01:02+00:00,https://remotejobs.org/remote-jobs/account-executive-blastpoint,,,,2026-05-10
RemoteJobs.org,a727f4bc-15d8-4194-a6ea-0343fd846612,Lead Analytics Engineer Borrowing,Monzo,"Cardiff, London",Remote,Full-time,"🚀 We're on a mission to make money work for everyone. We're waving goodbye to the complicated and confusing ways of traditional banking. After starting as a prepaid card, our product offering has grown a lot in the last 10 years in the UK. As well as personal and business bank accounts, we offer joint accounts, accounts for 16-17 year olds, a free kids account and credit cards in the UK, with more exciting things to come beyond. Our UK customers can also save, invest and combine their pensions with us. With our hot coral cards and get-paid-early feature, combined with financial education on social media and our award winning customer service, we have a long history of creating magical moments for our customers! We're not about selling products - we want to solve problems and change lives through Monzo ❤️ 📍London, Cardiff or Remote in the UK | 💰 £97,800 -125,000 + Benefits | Hear from the team ✨ ⭐Our Borrowing Analytics Engineering Team: Our Mission in Borrowing is to enable people's fi","{'name': 'Data Science', 'slug': 'data-science'}",2026-05-01T16:00:31+00:00,https://remotejobs.org/remote-jobs/lead-analytics-engineer-borrowing-monzo,97800,125000,"$97,800 - $125,000",2026-05-10
RemoteJobs.org,2683725e-7872-486f-8365-a5bd8ed0014e,Staff Data Engineer,Imagine Pediatrics,United States,Remote,Full-time,"Who We Are Imagine Pediatrics is a tech enabled, pediatrician led medical group reimagining care for children with special health care needs. We deliver 24/7 virtual first and in home medical, behavioral, and social care, working alongside families, providers, and health plans to break down barriers to quality care. We do not replace existing care teams; we enhance them, providing an extra layer of support with compassion, creativity, and an unwavering commitment to children with medical complexity. What You'll Do As a Staff Data Engineer at Imagine Pediatrics, you will be the first dedicated Data Engineer on a hybrid team with Analytics Engineers, responsible for defining how data moves through our platform and owning the data pipelines that power clinical analytics, operational reporting, and external integrations. You will ensure that data ingestion and integration decisions are made with a clear understanding of downstream analytical usage, including how data freshness, grain, and ","{'name': 'Data Science', 'slug': 'data-science'}",2026-04-30T16:00:26+00:00,https://remotejobs.org/remote-jobs/staff-data-engineer-imagine-pediatrics,,,,2026-05-10
RemoteJobs.org,34dddedc-4b4a-409b-b8b7-60593aea19c1,Analytics Engineer - Data Modeling Engineeer - Remote (LATAM),FlowMo,Remote,Remote,Contract,"FlowMo builds AI systems that turn business data into real work. getflowmo dot com We work with companies to answer questions like: - What’s driving revenue? - Where are we losing money? - What should we do next? We are not building dashboards. We are building systems that help companies operate. This role is for someone who can take messy data and produce answers quickly using data modeling best practices. Tasks - Build data models using SQL and DBT/LookML-style logic - Answer core business questions such as CAC, LTV, attribution, and revenue drivers - Debug and fix broken or incomplete datasets - Translate business questions into structured data models - Iterate quickly and improve outputs over time - Ship usable results fast, not perfect results slowly Requirements - 2–5+ years working in data modelling in a business context - Experience with data modeling tools (DBT, LookML, or similar) - Comfortable working with messy or incomplete data - Strong written and spoken English - Abilit","{'name': 'Data Science', 'slug': 'data-science'}",2026-04-24T21:59:33+00:00,https://remotejobs.org/remote-jobs/analytics-engineer-data-modeling-engineeer-remote-latam-flowmo,,,,2026-05-10
RemoteJobs.org,dbe93a4b-c61c-4633-8ebd-64a10022c835,Staff Data Scientist | Analytics,Machinify,Remote,Remote,Full-time,"Machinify is a leading healthcare intelligence company with expertise across the payment continuum, delivering unmatched value, transparency, and efficiency to health plan clients across the country. Deployed by over 85 health plans, including many of the top 20, and representing more than 270 million lives, Machinify brings together a fully configurable and content-rich, AI-powered platform along with best-in-class expertise. We’re constantly reimagining what’s possible in our industry, creating disruptively simple, powerfully clear ways to maximize financial outcomes and drive down healthcare costs. What You'll Do - Independently partner with business stakeholders to understand complex operational challenges, build domain context, and frame analytical approaches — without predefined solutions or heavy direction - Perform deep exploratory data analysis across payment operations, chart review workflows, and customer performance metrics to diagnose root causes and identify optimization ","{'name': 'Data Science', 'slug': 'data-science'}",2026-04-24T21:55:18+00:00,https://remotejobs.org/remote-jobs/staff-data-scientist-analytics-machinify,180000,240000,"USD 180,000 - 240,000",2026-05-10
RemoteJobs.org,38568ed0-720e-445e-a549-0b4991e716b3,WorkWave Senior Data Analytics Engineer,WorkWave,Remote,Remote,Full-time,"We are seeking an innovative Senior Data Engineer to join our Startup AI and Data Analytics Business Unit. This role is a critical bridge, connecting technical engineering with business strategy. Beyond just managing tickets or building pipelines, you will take full ownership of the data ecosystem. You will play a pivotal role in supporting our AI/ML initiatives , managing the modern data stack while simultaneously answering critical business questions to ensure data accessibility, reliability, and scalability.","{'name': 'Data Science', 'slug': 'data-science'}",2026-04-24T16:00:29+00:00,https://remotejobs.org/remote-jobs/workwave-senior-data-analytics-engineer-workwave,,,,2026-05-10
RemoteJobs.org,a628e704-dbe4-4491-bd3f-d23e62f56261,Associate Director Solutions,YipitData (Alternative),US Remote,Remote,Full-time,"About Us: YipitData is the leading market research and analytics firm for the disruptive economy and most recently raised $475M from The Carlyle Group at a valuation of over $1B. Every day, our proprietary technology analyzes billions of alternative data points to uncover actionable insights across sectors like software, AI, cloud, e-commerce, ridesharing, and payments. Our data and research teams transform raw data into strategic intelligence, delivering accurate, timely, and deeply contextualized analysis that our customers—ranging from the world’s top investment funds to Fortune 500 companies—depend on to drive high-stakes decisions. From sourcing and licensing novel datasets to rigorous analysis and expert narrative framing, our teams ensure clients get not just data, but clarity and confidence. We operate globally with offices in the US (NYC, Austin, Miami, Mountain View), APAC (Hong Kong, Shanghai, Beijing, Guangzhou, Singapore), and India. Our award-winning, people-centric cultu","{'name': 'Data Science', 'slug': 'data-science'}",2026-04-23T00:01:22+00:00,https://remotejobs.org/remote-jobs/associate-director-solutions-yipitdata-alternative,,,,2026-05-10
RemoteJobs.org,5b6398c4-7333-4ffd-995c-53fcfefdaaca,Manager Healthcare Data Analytics,Habitat Health,Remote,Remote,Full-time,"At Habitat Health, we envision a world where older adults experience an independent and joyful aging journey in the comfort of their homes, enabled by access to comprehensive health care. Habitat Health provides personalized, coordinated clinical and social care as well as health plan coverage through the Program of All-Inclusive Care for the Elderly (“PACE”) in collaboration with our leading healthcare partners, including Kaiser Permanente. Habitat Health offers a fully integrated experience that brings more good days and a sense of belonging to participants and their caregivers. We build engaged, fulfilled care teams to deliver personalized care in our centers and in the home. And we support our partners with scalable solutions to meet the health care needs and costs of aging populations. Habitat Health is growing, and we're looking for new team members who wish to join our mission of redefining aging in place. To learn more, visit https://www.habitathealth.com. Role Scope:","{'name': 'Data Science', 'slug': 'data-science'}",2026-04-21T00:01:57+00:00,https://remotejobs.org/remote-jobs/manager-healthcare-data-analytics-habitat-health,,,,2026-05-10
RemoteJobs.org,db14978c-f6ee-4f17-801b-b70d4e12ffe5,AI Senior Fullstack Engineer,Contentsquare,Germany,Remote,Full-time,"Contentsquare is the all-in-one experience intelligence platform designed to be easily used by anyone who cares about digital journeys. With our flexible and scalable platform, organizations quickly get a deep understanding of their customers’ whole online journey. We are a global leader in the experience analytics space, with a growing presence across 15 offices worldwide. We’re here to stay—and we’re looking for team members who are excited to drive impact and help us scale even further. Our aim is to create an inclusive workplace where everyone learns and succeeds. Contentsquare has built a community of individuals who are daring, understanding, and deliberate. We invite you to join us in making the complex simpler—for our customers, their customers, and each other. Important note: Be careful of scammers pretending to be from Contentsquare. We will never ask for money or contact you through random texts. Any communication from our in house Talent Acquisition team will only ever come","{'name': 'Data Science', 'slug': 'data-science'}",2026-04-17T08:00:35+00:00,https://remotejobs.org/remote-jobs/ai-senior-fullstack-engineer-contentsquare,,,,2026-05-10
